Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,Arabic,Spanish,Russian,Portuguese,Chinese,English,Vietnamese,Korean,caregivers,trauma survivors,low-income,dual diagnosis,adults,benefit recipients,young adults,developmental disability,opioid dependency,substance dependency,female,with children,chronic illness,alcohol dependency,latino,limited english,eating disorder,african american,criminal justice history,seniors,domestic violence survivors,teens,near homeless,all ages,families,individuals,spouses,all mental health,parents,sexual assault survivors,immigrants,veterans,grieving,male,suicidal thoughts,ptsd,homeless,uninsured,asian,refugees,lgbtqia+,bipolar,anxiety,children,hiv/aids,transgender or non-binary,mothers,adults 18+,all disabilities,undocumented,depression,peer support,bereavement,group therapy,psychiatric emergency services,case management,medications for mental health,checkup & test,drug testing,daily life skills, family counseling,residential care,"counseling, group therapy",one-on-one support,counseling counseling,12-step,help hotlines,parenting education,outpatient,peer recovery coaching,virtual support,substance abuse counseling,navigating the system,addiction & recovery,disease screening,residential treatment,understand mental health,support network,medical care,mental health evaluation,sober living,specialized therapy,anger management, outpatient treatment,individual counseling,spiritual support,government benefits,addiction and recovery,prescription assistance,counseling,treatment,family counseling,community support services,mental health care,prevent & treat,short-term housing,safe housing,counseling medical care,outpatient treatment,detox,residential housing,medications for addiction,support groups,health education,long-term housing,temporary shelter,medication management,substance abuse,meals,skills & training,interview training, resume development,help find work,job placement,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Catholic Social Services of the Archdiocese of Philadelphia - Saint John's Hospice_Good Shepherd,https://www.auntbertha.com//catholic-social-services-of-the-archdiocese-of-philadelphia---saint-john%2527s-hospice-%2528sjh%2529--philadelphia-pa--good-shepherd/5922109384294400?postal=19139,"['residential housing', 'short-term housing', 'sober living', 'addiction & recovery', 'substance abuse counseling', 'mental health care', 'counseling', 'case management']",None,"adults 18+, male, chronic illness, homeless, near homeless, substance dependency",215-563-7763,https://saintjohnshospice.org/all-programs/,"1221 Race St, Philadelphia, PA 19107","https://www.google.com/maps/?q=1221+Race+St,+Philadelphia,+PA+19107/","This program serves medically fragile, homeless men.",available,"Good Shepherd provides a drug and alcohol-free, 12-bed residence for medically fragile, homeless men. The Good Shepherd Program focuses on transition from homeless to independent living, while also working with its clients to manage their specific healthcare needs.This program provides:- Short-Term Housing- Case Management- Counseling",English,Free,Yes,https://www.facebook.com/saintjohnshospice,https://www.twitter.com/@saintjohnshosp,"This program covers residents of the following counties: Philadelphia County, PA.",39.9561184,-75.1599411,19103,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Women In Transition_Substance Abuse Intervention,https://www.auntbertha.com//women-in-transition-%2528wit%2529--philadelphia-pa--substance-abuse-intervention/6615452957540352?postal=19139,"['addiction & recovery', 'substance abuse counseling']",None,"all ages, female, substance dependency, alcohol dependency, lgbtqia+, transgender or non-binary",215-751-1111,https://helpwomen.org/substance-abuse-intervention,"21 South 12th Street, Philadelphia, PA 19107","https://www.google.com/maps/?q=21+South+12th+Street,+Philadelphia,+PA+19107/",Anyone can access this program.,available,"Substance Abuse Intervention is not a 12-step program, nor is it faith-based; however, we are respectful of each individual's spirituality. We do not require drug tests, but we do ask that you refrain from using drugs or alcohol before you come to your counseling or group sessions.Services Include:- Empowerment counseling for recoveryOur service model recognizes that change and recovery are a process and integrates the concepts of harm reduction into trauma-informed empowerment so that we can better address both relationship violence and substance abuse. Our safe and supportive services help women increase self-esteem and personal awareness about practical issues which are key to a woman__ recovery. Services are free and confidential. For more information call 215-751-1111.",English,Free,Yes,https://www.facebook.com/WomenInTransitionPhilly/,https://twitter.com/helpwomen,"This program covers residents of the following counties: Philadelphia County, PA.",39.9509969,-75.1597902,19107,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,Closed,Closed,No
"Addiction Medicine and Health Advocates, Inc. (AMHA)_Addiction Medicine And Health Advocates",https://www.auntbertha.com//addiction-medicine-and-health-advocates%252C-inc.-%2528amha%2529--philadelphia-pa--addiction-medicine-and-health-advocates/5185303560585216?postal=19139,"['addiction & recovery', 'detox', 'outpatient treatment', 'understand mental health', 'group therapy', 'substance abuse counseling', 'family counseling', 'mental health evaluation', 'drug testing', 'navigating the system', 'support network', 'one-on-one support']",None,"adults, young adults, teens, seniors, substance dependency, families",215-923-4202,https://amhainc.org/services,"928 Market St, Philadelphia, PA 19107","https://www.google.com/maps/?q=928+Market+St,+Philadelphia,+PA+19107/",Follow the Next Steps to find out if this program has eligibility criteria.,available,"Addiction Medicine and Health Advocates, Inc. (AMHA) provides evidence-based substance abuse treatment, which is continuously responsive to the needs of the patients and their families. AMHA is an outpatient facility consisting of two levels of care: Outpatient and Intensive Outpatient. Methadone Maintenance is provided on both levels of care.Services provided include:_ Assessment and intake_ Medication-assisted treatment (methadone maintenance)_ Individual counseling & psychotherapy_ Group psychotherapy_ Psycho education_ Medical & psychiatric evaluations _ Aftercare & follow up services _ Referrals (educational, medical, vocational, psychiatric, higher levels of care)_ Couples & family therapy_ Drug screening To begin the admissions process, please contact us. You may also come in person between the hours of 9 am and 4 pm, Monday through Friday. You will be asked to complete a short screening interview and if initial eligibility criteria is met, you will be scheduled for an assessment.At the time of your assessment, you will need to bring:_ Current, state-issued photo ID_ Insurance cardAMHA is a private not-for-profit organization dependent upon patient fees for its continuance. Most of our patients have some form of insurance or medical assistance that pays for medication-assisted treatment services. Individuals who do not have insurance are responsible for payment or they may be eligible for county funding.",English,Reduced Cost,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9513162,-75.1561975,19107,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Philadelphia FIGHT Community Health Centers_Teach Recovery Education Empowerment IOP,https://www.auntbertha.com//philadelphia-fight-community-health-centers--philadelphia-pa--teach-recovery-education-empowerment-%2528tree%2529-iop/6139716755783680?postal=19142,"['addiction and recovery', 'residential treatment', 'substance abuse', 'counseling counseling']",None,"hiv/aids, substance dependency, all ages",215-525-8657,https://fight.org/programs/treeiop/,"1233 Locust Street 3rd floor, Philadelphia, PA 19107","https://www.google.com/maps/?q=1233+Locust+Street+3rd+floor,+Philadelphia,+PA+19107/",Follow the Next Steps to find out if this program has eligibility criteria.,available,"Philadelphia Fight offers the Teach Recovery Education Empowerment (TREE) IOP, a recovery-oriented program designed to help individuals struggling with Drug and Alcohol Use Disorder to establish and maintain recovery by offering individualized and person-centered treatment.We offer:- Intensive outpatient programTREE is an intensive nine to twelve month program based on the individual.",English,Free,Yes,https://www.facebook.com/pages/Philadelphia-FIGHT/80411861715,https://www.twitter.com/@PhillyFIGHT,"This program covers residents of the following counties: Philadelphia County, PA.",39.9479892,-75.1619304,19107,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Child Guidance Resource Centers_Drug and Alcohol Services,https://www.auntbertha.com//child-guidance-resource-centers-%2528cgrc%2529--philadelphia-pa--drug-and-alcohol-services/4542572480692224?postal=19139,"['addiction and recovery', 'substance abuse counseling', 'group therapy', 'family counseling', 'navigating the system']",None,"young adults, teens, families, benefit recipients, substance dependency, opioid dependency, alcohol dependency",484-454-8720,https://cgrc.org/service/drug-and-alcohol-services/,"2901 Island Avenue, Philadelphia, PA 19153","https://www.google.com/maps/?q=2901+Island+Avenue,+Philadelphia,+PA+19153/",Must have Medical Assistance (Medicaid). This program helps people who are 13 to 19 years old.,available,"Child Guidance Resource Centers offers a supportive and effective program specifically for teenagers struggling with addiction. The Drug and Alcohol Service (D and A) is an extensive, family-based program that focuses on education, treatment and recovery from substance abuse. We supportively confront and coach our clients through the personal, academic, social and family problems created by and participating in the use of drugs and alcohol.Our treatment includes- Individual therapy- Family therapy- Group therapy- Relapse prevention techniques - After-care planningChild Guidance Resource Centers accepts Medicaid for their services.",English,Reduced Cost,Yes,https://www.facebook.com/ChildGuidanceResourceCenters,https://www.twitter.com/@_CGRC,"This program covers residents of the following counties: Chester County, PA, Delaware County, PA, Montgomery County, PA and Philadelphia County, PA.",39.9028317,-75.239064,19153,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
University of Pennsylvania Perelman School of Medicine_Addiction Services,https://www.auntbertha.com//university-of-pennsylvania-perelman-school-of-medicine--philadelphia-pa--addiction-services/5001274926563328?postal=19139,"['addiction and recovery', '12-step', 'substance abuse counseling', 'health education', 'mental health care', 'counseling, group therapy', 'individual counseling', 'peer support']",None,"adults, seniors, individuals, benefit recipients, uninsured, substance dependency, opioid dependency, alcohol dependency, dual diagnosis",215-662-8747,https://www.med.upenn.edu/psychiatry/presbyterian_overview.html,"245 South 8th Street, Philadelphia, PA 19107","https://www.google.com/maps/?q=245+South+8th+Street,+Philadelphia,+PA+19107/",Must have Medicaid.,available,"Penn Presbyterian Medical Center offers a wide range of behavior health services, including inpatient and outpatient services for mental health and addiction treatments, and specialty mental health programs for older adults.We offer:- Individual and Group counseling- 12-Step Meetings on campus- Educational materials and support- Relapse prevention groupsFamily support and orientation meetings are available for all patients.We offer specialized programs for:- Alcohol Addiction- Cocaine Addiction- Heroin Addiction- Multi-Substance Addiction- Dual Diagnosis- Medically Complicated Patients- Men and WomenUniversity of Pennsylvania Perelman School of Medicine accepts Medicaid. For those without coverage, assistance with arrangements can be made through our assessment center at 215-662-8747.","English, Spanish",Reduced Cost,Yes,https://www.facebook.com/MFCPenn/,https://www.twitter.com/https://twitter.com/MFCPenn,"This program covers residents of the following cities: Philadelphia, PA.",39.9465712,-75.1543901,19147,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:30 AM - 5:00 PM  EDT,8:30 AM - 7:00 PM  EDT,8:30 AM - 7:00 PM  EDT,8:30 AM - 5:00 PM  EDT,8:30 AM - 5:00 PM  EDT,Closed,Closed,No
NorthEast Treatment Centers - OTP_Medication-Assisted Treatment,https://www.auntbertha.com//northeast-treatment-centers---otp--philadelphia-pa--medication-assisted-treatment/6378689670414336?postal=19141,"['addiction and recovery', 'detox', 'substance abuse counseling', 'medications for addiction', 'counseling', 'medication management']","checkup & test,  mental health evaluation,  peer support","adults 18+, substance dependency, opioid dependency",215-831-6024,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,"2205 Bridge St, Philadelphia, PA 19137","https://www.google.com/maps/?q=2205+Bridge+St,+Philadelphia,+PA+19137/",This program serves those facing opioid addiction.,available,"Medication-Assisted Treatment offers services for those addicted to opiods such as oxycodone, codeine, fentanyl, morphine, heroin and others. Common treatment drugs are methadone, buprenorphine (Suboxone and Subutex), or naltrexone. Check with this program to see what options are available.This program provides:- Medication management for opioid dependency",English,Reduced Cost,Yes,https://www.facebook.com/NorthEastTreatmentCenters/,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.010577,-75.0692255,19137,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
The Behavioral Wellness Center at Girard_Miracles In Progress,https://www.auntbertha.com//the-behavioral-wellness-center-at-girard--philadelphia-pa--miracles-in-progress/4795404263882752?postal=19141,"['substance abuse counseling', 'residential treatment']",None,"adults 18+, male, homeless, substance dependency",215-787-2482,https://bewellctr.org/inpatient-drug-alcohol/,"801 West Girard Avenue, Philadelphia, PA 19122","https://www.google.com/maps/?q=801+West+Girard+Avenue,+Philadelphia,+PA+19122/",Follow the Next Steps to find out if this program has eligibility criteria.,available,"The Behavioral Wellness Center's Miracles in Progress program provides long-term recovery services for chronically homeless men with substance use disorders and co-occurring mental health issues. The program is open ended, targeting men who have lived on the streets or in Philadelphia shelters for at least five years.This program provides: - Drug and alcohol treatment for men that are chronically homeless",English,Free,Yes,https://www.facebook.com/BeWellatGirard/,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9712194,-75.149293,19122,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,00:00 AM - 11:59 PM  EDT,00:00 AM - 11:59 PM  EDT,00:00 AM - 11:59 PM  EDT,00:00 AM - 11:59 PM  EDT,00:00 AM - 11:59 PM  EDT,00:00 AM - 11:59 PM  EDT,00:00 AM - 11:59 PM  EDT,No
Self Help Movement_Halfway House-(2B),https://www.auntbertha.com//self-help-movement--philadelphia-pa--halfway-house-%25282b%2529/5477271096786944?postal=19141,"['addiction and recovery', 'residential treatment', 'substance abuse counseling', 'navigating the system', 'one-on-one support']","addiction & recovery, 12-step, navigating the system, case management, skills & training, interview training, resume development, help find work","adults, young adults, seniors, male, benefit recipients, substance dependency",215-677-7778,https://selfhelpmovement.org/our-programs-services/,"2600 Southampton Rd, Philadelphia, PA 19116","https://www.google.com/maps/?q=2600+Southampton+Rd,+Philadelphia,+PA+19116/",This program helps people who are older than 16 years old.,available,"Our Halfway House is a 24/7 structured community-based residential treatment and rehabilitation facility. This program emphasizes a family atmosphere, encouraging independent growth, personal accountability, and responsible community living.  Our residents continue their individual journey of recovery in a live in/ work out environment, with the support and structure of staff and peers to provide an opportunity for continued success. In addition, the residents of the Halfway House are supported through Case Management and Computer Lab services with resume building, on-line and in-person employment application, interview skills, college/trade school enrollment, money management/budgeting, establishing savings accounts, and addressing legal concerns.  Of greatest importance is maintaining the established in-house recovery support network and gradually extending this into the larger non-treatment community through 12 Step Fellowship meeting attendance, faith-based community worship, social visits with family and sober friends.  In doing so, the goal of the Halfway House is to prepare the individual to successfully and charitably manage the affairs of his daily living without the use of alcohol and other drugs.

We provide:
- Short-term housing
- Sober living
- Case management
- Interview skills
- Resume building
- Help finding work
- 12 step meeting

Self Help Movement accepts BHSI, CBH, Magellan through Bucks, Delaware, Lehigh and Montgomery Counties, Private Insurance and Self Pay.",English,Reduced Cost,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.1154488,-74.990509,19116,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Northeast Treatement Centers Inc_Opioid Treatment Program,https://www.auntbertha.com//northeast-treatement-centers%252C-inc--philadelphia-pa--opioid-treatment-program-%2528otp%2529/6410727744077824?postal=19141,"['detox', 'counseling', 'substance abuse counseling']",None,"adults, substance dependency, opioid dependency",973-777-2962,http://www.northeastlifeskills.org/index.html,"7520 State Road, Philadelphia, PA 19136","https://www.google.com/maps/?q=7520+State+Road,+Philadelphia,+PA+19136/",Follow the Next Steps to find out if this program has eligibility criteria.,None,"This program provides Medication-Assisted Treatment services for those addicted to opiods such as oxycodone, codeine, fentanyl, morphine, heroin and others. Common treatment drugs are methadone, buprenorphine (Suboxone and Subutex), or naltrexone. Check with this program to see what options are available.",English,None,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0297839,-75.0269339,19114,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Best Behavioral Healthcare_Mental Health Services,https://www.auntbertha.com//best-behavioral-healthcare--philadelphia-pa--mental-health-services/5128979153944576?postal=19142,"['substance abuse counseling', 'mental health care', 'anger management', 'counseling', 'group therapy', 'family counseling', 'individual counseling']",None,"adults, young adults, teens, children, seniors, individuals, families, benefit recipients, spouses, all mental health",215-744-4343,https://bbhirecovery.org/about-us/,"5043 Frankford Avenue, Philadelphia, PA 19124","https://www.google.com/maps/?q=5043+Frankford+Avenue,+Philadelphia,+PA+19124/",Must have Medicaid or Medicare.,available,"Best Behavioral Healthcare provides outpatient services to children, adolescents and adults with mental and behavioral health needs.Services Include:- Therapy For Individual, Couples, Families - Group Therapy- Psychiatric Evaluation - Medication Management- Anger management - Stress management - Smoking cessationCall us to schedule an appointment.Best Behavioral Healthcare accepts Medicaid and Medicare.",English,Reduced Cost,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",40.0212549,-75.0793885,19114,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:30 AM - 9:00 PM  EDT,8:30 AM - 9:00 PM  EDT,8:30 AM - 9:00 PM  EDT,8:30 AM - 9:00 PM  EDT,8:30 AM - 9:00 PM  EDT,9:00 AM - 5:00 PM  EDT,Closed,No
Women's Institute for Family Health_Outpatient Drug and Alcohol Treatment,https://www.auntbertha.com//women%2527s-institute-for-family-health-%2528wifh%2529--philadelphia-pa--outpatient-drug-and-alcohol-treatment/5639251868516352?postal=19141,"['addiction and recovery', 'outpatient treatment', 'substance abuse counseling', 'medications for addiction', 'medication management', 'mental health care', 'group therapy', 'family counseling', 'individual counseling', 'mental health evaluation', 'peer support']",None,"adults, young adults, teens, seniors, adults 18+, veterans, criminal justice history, lgbtqia+, transgender or non-binary, individuals, less, benefit recipients, substance dependency, alcohol dependency, dual diagnosis",215-747-2391,https://www.wifamilyhealth.org/our-programs/,"5936 Chestnut Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=5936+Chestnut+Street,+Philadelphia,+PA+19139/",Must have Medicaid or Medicare.,available,"Women's Institute for Family Health provides men and women with drug or alcohol dependence, as well as those with co-occurring substance abuse and mental health issues. Clients learn strategies to promote better health and discontinue self-destructive behaviors.Services include:- Psychiatric Assessment- Drug and Alcohol Assessment/Evaluation- Medication Assisted Therapy (Suboxone)- Medication Management- Individual, Group Psychotherapy and Family Counseling- Addiction Education- Peer Support- DUI ServicesTheir services assist people with special needs that include individuals with trauma, anger, grief and loss issues, veterans, LGBTQIA+ of all ages, and pregnant or parenting women. Women's Institute for Family Health accepts Medicaid and Medicare. Appointments are recommended however walk-ins are accepted. Call for an evaluation or intake appointment.",English,Reduced Cost,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9601419,-75.2405308,19139,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
Horizon House_Housing First Treatment Teams and the Housing First Model,https://www.auntbertha.com//horizon-house--philadelphia-pa--housing-first-treatment-teams-and-the-housing-first-model/4666716061171712?postal=19142,"['daily life skills', 'prescription assistance', 'prevent & treat', 'substance abuse counseling']",None,"all ages, all disabilities, substance dependency, homeless",215-386-3838,https://www.hhinc.org/homeless-services-overview/housing/,"5901 Market Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=5901+Market+Street,+Philadelphia,+PA+19139/",This program serves people experiencing homelessness.,available,"Housing First Treatment Teams provide support services using the models ``Housing First'' and  ``Assertive Community Treatment''. This program supports chronically homeless persons with behavioral health disorders who have not been able to address their behavioral health and/or drug and alcohol issues or maintain housing through more traditional treatment approaches.This program provides:- Crisis assessment and intervention 24/7- System assessment- Management and treatment- Prescription- Administration documentation and monitoring of medication- Mental health and/or addiction counseling (individual or group)- Activities of daily living instruction- Using public transportation- Assistance accessing benefits (medical, SSI or SSD, food stamps)- Education or employment assistance- Specialized counseling and therapyFor more information about services in Philadelphia County, please call 215-386-3838, ext. 12667. For more information about services in Delaware County, please call 610-328-1306.",English,Reduced Cost,Yes,https://www.facebook.com/horizonhouseinc/?fref=ts,None,"This program covers residents of the following counties: Delaware County, PA and Philadelphia County, PA.",39.9620586,-75.239132,19139,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed,No
