Service_Name,Service_URL,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,food pantry,safe housing,anger management,understand mental health,support network,outpatient treatment,computer or internet access,baby supplies,counseling,after school care,disaster response,addiction & recovery,residential housing,spiritual support,detox,help find housing,sober living,parenting education,skills & training,food delivery,navigating the system,personal care items,help find work,toys & gifts,community support services,home goods,one-on-one support,peer support,group therapy,meals,12-step,emergency food,family counseling,residential treatment,clothing,substance abuse counseling,individual counseling,day camp,personal hygiene,health education,mental health care,nutrition education,short-term housing,case management,mental health evaluation,housing advice,bereavement,temporary shelter,drug testing,virtual support,medical care,recreation,financial education,advocacy & legal aid,Gujarati,Arabic,Armenian,French,Portuguese,American Sign Language,Russian,Haitian,Ukrainian,Hindi,Hebrew,English,Turkish,Spanish,Vietnamese,Khmer,Punjabi,This program serves Delaware County residents.,Centralized Homeless Intake assessment of eligibility required.,This program helps people with income at or below 150% of federal poverty guidelines. Must live in one of the zip codes we service.,Anyone can access this service.,Anyone can access this program.,Must live within our service area.,"This program serves medically fragile, homeless men.","HIV positive consumers need to bring their Ryan White Services Eligibility Card when visiting the food cupboard.
No referral is needed.
This program helps people with income at or below 150% of federal poverty guidelines.","Must live in postal code 19111, 19120 or 19126.",This program is available to anyone seeking refuge that was recently released from U.S. custody,This program helps people who are younger than 21 years old,This program helps people who are older than 59 years old.,This program serves veterans.,Must reside in the Carroll Park West Philadelphia neighborhood.,This program serves homeless men.,Must have Medicaid.,"For homeless individuals residing in the Philadelphia, PA area.","This program helps people who are 14 to 23 years old.
This program serves Lesbian, Gay, Bisexual, Transgender and Questioning (LGBTQ) youth and young adults, up to the age of 23, and their families/caregivers (biological or by choice)",sexual assault survivors,caregivers,emergency,eating disorder,opioid dependency,near homeless,human trafficking survivors,immigrants,uninsured,suicidal thoughts,parents,adults 18+,individuals,ptsd,all mental health,depression,veterans,trauma survivors,low-income,homeless,natural disaster survivors,transgender or non-binary,lgbtqia+,domestic violence survivors,female,runaways,alcohol dependency,anyone in need,spouses,bipolar,benefit recipients,developmental disability,in crisis,families,children,undocumented,all ages,substance dependency,limited english,refugees,dual diagnosis,seniors,grieving,anxiety,criminal justice history,with children,asian,young adults,mothers,all disabilities,adults,male,teens,chronic illness,Cost_Free,Cost_Reduced Cost,Cost_Sliding Scale,Availability_available,Availability_temporarily closed,Availability_full,sexual assault survivors,caregivers,emergency,eating disorder,opioid dependency,near homeless,human trafficking survivors,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Episcopal Community Services_Food Pantry,https://www.auntbertha.com//episcopal-community-services-%2528ecs%2529--philadelphia-pa--food-pantry/5643194546257920?postal=19125,"['emergency food', 'food pantry']",None,"['anyone in need', 'all ages', 'individuals', 'families']",215-528-5400,https://www.ecsphilly.org/st-barnabas/,"6006 West Girard Avenue, Philadelphia, PA 19151","https://www.google.com/maps/?q=6006+West+Girard+Avenue,+Philadelphia,+PA+19151/",['Must reside in the Carroll Park West Philadelphia neighborhood.'],available,"Episcopal Community Services (ECS) offers a open choice food pantry to families and individuals who simply have fallen on hard times or recently unemployed and need assistance to make ends meet. Families receive bags of dry, canned, and jarred goods.This program provides:- Food to meet basic nutritional needsBecause supplies are limited, families can utilize the cupboard only once per month.",['English'],Free,Yes,https://www.facebook.com/ECSPhilly/,https://www.twitter.com/@ECSPhilly,"This program covers residents of the following cities: Philadelphia, PA.",39.9696013,-75.23993,19151,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
East Park Revitalization Alliance_Food Pantry,https://www.auntbertha.com//east-park-revitalization-alliance--philadelphia-pa--food-pantry/5711255900520448?postal=19134,"['emergency food', 'food pantry']",None,"['anyone in need', 'all ages']",215-235-6001,https://epralliance.org/about-us/programs/food-pantry/,"1737 North 31st Street, Philadelphia, PA 19121","https://www.google.com/maps/?q=1737+North+31st+Street,+Philadelphia,+PA+19121/",['Anyone can access this program.'],available,"East Park Revitalization Alliance's food cupboard serves everyone from low income families, single parents, senior citizens, unemployed individuals, disabled veterans, working poor, and anyone else in need of assistance. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsClients are welcome to come once every week. For example if you come on Monday, you can only return the next Monday or after.",['English'],Free,Yes,None,None,"This program covers residents of the following cities: Philadelphia, PA.",39.9831003,-75.1847568,19121,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Covenant House Pennsylvania_Youth Services,https://www.auntbertha.com//covenant-house-pennsylvania-%2528chp%2529--philadelphia-pa--youth-services/4909220273061888?postal=19114,"['temporary shelter', 'residential housing', 'short-term housing']","['meals', 'medical care', 'counseling', 'financial education', 'navigating the system', 'case management', 'one-on-one support', 'spiritual support', 'advocacy & legal aid']","['young adults', 'teens', 'children', 'homeless', 'runaways', 'human trafficking survivors', 'in crisis', 'lgbtqia+']",888-829-1249,https://www.covenanthousepa.org/our-impact/our-programs,"31 East Armat St., Philadelphia, PA 19144","https://www.google.com/maps/?q=31+East+Armat+St.+,+Philadelphia,+PA+19144/",['This program helps people who are younger than 21 years old'],available,"Covenant House Pennsylvania offers shelter and supportive services to young people experiencing homelessness. They aim to help homeless young people become healthy, happy, responsible, productive, and ultimately independent adults.This program provides:- A safe, secure environment- Immediate and transitional housing- Rapid rehousing- Meals and food- Case Management- Spiritual Support- Counseling- Physical health, mental health, and drug and alcohol services- Saving and budgeting- Continuing education- Support for LGBTQ individuals- Job readinessThe Crisis Center is open 24 hours per day, seven days per week. There are no shelter fees; however, those staying at the shelter must deposit 75% of their income during their stay. All money is returned upon leaving the shelter. Covenant House is a drug and weapon-free program.",['English'],Free,Yes,https://www.facebook.com/CovenantHousePA,https://www.twitter.com/@CovenantHousePA,"This program covers residents of the following counties: Philadelphia County, PA.",40.0356379,-75.1733708,19144,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT,0:00 AM - 11:59 PM EDT
Community of Compassion CDC_Food Pantry,https://www.auntbertha.com//community-of-compassion-cdc--philadelphia-pa--food-pantry/6260879273361408?postal=19125,"['emergency food', 'food pantry']",None,"['anyone in need', 'all ages', 'individuals', 'families']",267-767-1216,https://www.communityofcompassioncdc.com/,"6150 Cedar Avenue, Philadelphia, PA 19143","https://www.google.com/maps/?q=6150+Cedar+Avenue,+Philadelphia,+PA+19143/",['Anyone can access this program.'],available,The Community of Compassion CDC Food Pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs,['English'],Free,Yes,https://www.facebook.com/communityofcompassioncdc,https://twitter.com/community_cdc,"This program covers residents of the following cities: Philadelphia, PA.",39.9526461,-75.2465832,19143,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Circle Counseling_Counseling,https://www.auntbertha.com//circle-counseling--philadelphia-pa--counseling/4780892498952192?postal=19102,"['substance abuse counseling', 'bereavement', 'parenting education', 'understand mental health', 'counseling', 'mental health care', 'anger management', 'family counseling', 'individual counseling', 'mental health evaluation']",None,"['adults', 'young adults', 'teens', 'children', 'seniors', 'grieving', 'families', 'with children', 'spouses', 'parents', 'depression', 'bipolar', 'suicidal thoughts', 'anxiety', 'eating disorder', 'ptsd', 'substance dependency']",267-254-0015,https://circlecounseling.com/therapists-and-services/,"1226 South Broad Street, Philadelphia, PA 19146","https://www.google.com/maps/?q=1226+South+Broad+Street,+Philadelphia,+PA+19146/",['Anyone can access this program.'],available,Circle Counseling offers counseling for those who are living with mental health issues and are seeking treatment to help address issues related to mental health and loved ones. This program provides: - Individual counseling- Couples counseling- Family counselingTherapists specialize in:- Depression- Anxiety- Spiritual formation- Women__ issues- Grief- Personal growth- Aging- Self-esteem- Anger management- Stress- Eating disorders- Sexuality- Emotional and physical abuse- Work and career concerns- Substance Abuse- Separation & Divorce- Relaxation and Meditation training- Relationship skills- Communication- Intimacy- Money management- Power- Parenting issuesServices are offered on a sliding scale basis. Please inquire for more information.,['English'],Sliding Scale,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9348359,-75.1677853,19146,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Church World Service Inc_Border Shelter Network and Call Center,https://www.auntbertha.com//church-world-service-inc--lancaster-pa--border-shelter-network-and-call-center/4967372504694784?postal=19114,"['temporary shelter', 'meals', 'clothing', 'personal hygiene', 'navigating the system', 'support network']",None,"['anyone in need', 'all ages', 'refugees', 'undocumented', 'individuals', 'families', 'limited english']",717-381-2890,https://cwsglobal.org/our-work/united-states/asylum-and-border-services/,"308 East King Street, Lancaster, PA 17602","https://www.google.com/maps/?q=308+East+King+Street,+Lancaster,+PA+17602/",['This program is available to anyone seeking refuge that was recently released from U.S. custody'],available,"Church World Service Inc offers a network of respite shelters to assist those awaiting a court date with the US government after going through US custody. This program provides:- Short-term shelter- Meals- Clothing- Hygiene products- Access to telephones to call loved ones- Connection to resettlement offices, member congregations, sanctuary churches and other service providers that can assist with housing, legal services, support services and resource sharingCWS has refugee and immigration offices spread across different states. Many of these offices are managed through partnerships with local organizations, while some are directly overseen by CWS and as such set the standard for resettlement in local communities.","['Arabic', 'Armenian', 'English', 'French', 'Gujarati', 'Haitian', 'Hindi', 'Portuguese', 'Punjabi', 'Russian', 'Spanish', 'Turkish', 'Ukrainian']",Free,Yes,https://www.facebook.com/churchworldservice,https://twitter.com/CWS_global,"This program covers residents of the following states: CA, FL, GA, IL, IN, KY, MI, NE, NH, NY, OH, OR, PA, TX and VA.",40.0383433,-76.2988403,17602,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Catholic Social Services of the Archdiocese of Philadelphia and Saint John's Hospice_Good Shepherd,https://www.auntbertha.com//catholic-social-services-of-the-archdiocese-of-philadelphia---saint-john%2527s-hospice-%2528sjh%2529--philadelphia-pa--good-shepherd/5922109384294400?postal=19102,"['residential housing', 'short-term housing', 'sober living', 'addiction & recovery', 'substance abuse counseling', 'mental health care', 'counseling', 'case management']",None,"['adults 18+', 'male', 'chronic illness', 'homeless', 'near homeless', 'substance dependency']",215-563-7763,https://saintjohnshospice.org/all-programs/,"1221 Race St., Philadelphia, PA 19107","https://www.google.com/maps/?q=1221+Race+St,+Philadelphia,+PA+19107/","['This program serves medically fragile, homeless men.']",available,"Good Shepherd provides a drug and alcohol-free, 12-bed residence for medically fragile, homeless men. The Good Shepherd Program focuses on transition from homeless to independent living, while also working with its clients to manage their specific healthcare needs.This program provides:- Short-Term Housing- Case Management- Counseling",['English'],Free,Yes,https://www.facebook.com/saintjohnshospice,https://www.twitter.com/@saintjohnshosp,"This program covers residents of the following counties: Philadelphia County, PA.",39.9561184,-75.1599411,19103,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,9:00 AM - 5:00 PM  EDT,Closed,Closed
Better Living Center_Community Support Services,https://www.auntbertha.com//better-living-center-%2528blc%2529--chester-pa--community-support-services/5385341432496128?postal=19113,"['emergency food', 'health education', 'understand mental health', 'community support services', 'computer or internet access', 'after school care', 'day camp', 'navigating the system', 'help find work', 'skills & training']",None,"['anyone in need', 'all ages', 'individuals', 'families', 'low-income', 'criminal justice history']",610-497-1082,https://betterlivingcdc.org/,"1917 W 6th St, Chester, PA 19013","https://www.google.com/maps/?q=501+Yarnall+Street,+Chester,+PA+19013/",[Follow the Next Steps to find out if this program has eligibility criteria.],available,"The Better Living Center is dedicated to providing resources and information to empower the residents of Chester and Delaware County to improve their lives.This program provides:- An Emergency Food Pantry- Free Computer and Internet Access- After-School Programs- YMCA Summer Camp in partnership with the Rocky Run YMCA- Job Training, Career Development and Employment Searches- Healthy Lifestyle, Healthcare and Mental Health Information",['English'],Free,Yes,None,None,"This program covers residents of the following counties: Chester County, PA and Delaware County, PA.",39.8383841,-75.3834925,19013,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Bethesda Project_My Brother's House,https://www.auntbertha.com//bethesda-project--philadelphia-pa--my-brother%2527s-house/5138871176658944?postal=19102,"['temporary shelter', 'safe housing', 'mental health care', 'substance abuse counseling']","['meals', 'navigating the system', 'case management']","['all ages', 'male', 'homeless', 'near homeless', 'all mental health']",215-985-1600,https://www.bethesdaproject.org/housing-shelter,"609 South 15th Street, Philadelphia, PA 19146","https://www.google.com/maps/?q=609+South+15th+Street,+Philadelphia,+PA+19146/",['This program serves homeless men.'],available,"My Brother's House program offers a safe heaven that provides pre-recovery housing and an array of supportive services to 20 vulnerable men with chronic mental illness and substance abuse problem. This program provides:- Temporary shelterIn addition to a safe place to stay, resident are provided with:- Meals- Social services",['English'],Free,Yes,https://www.facebook.com/BethesdaProject/,https://www.twitter.com/@Bethesda_Proj,"This program covers residents of the following counties: Philadelphia County, PA.",39.9435134,-75.1671526,19146,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,8:00 AM - 5:00 PM  EDT,Closed,Closed
Bebashi_Second Helping Emergency Food Cupboard,https://www.auntbertha.com//bebashi--philadelphia-pa--second-helping-emergency-food-cupboard/4785885511417856?postal=19134,"['emergency food', 'food pantry']",None,"['all ages', 'individuals', 'families', 'low-income']",215-769-3561,https://www.bebashi.org/hunger-relief/,"1235 Spring Garden Street, Philadelphia, PA 19123","https://www.google.com/maps/?q=1235+Spring+Garden+Street,+Philadelphia,+PA+19123/",['HIV positive consumers need to bring their Ryan White Services Eligibility Card when visiting the food cupboard.\nNo referral is needed.\nThis program helps people with income at or below 150% of federal poverty guidelines.'],available,"Bebashi's Second Helping Emergency Food Pantry aims to ensure that those who are struggling with food insecurity don't go hungry. Service provided:- Boxed and canned food - Fresh meats, fruits and vegetables- Nutrition workshops and easy-to-prepare recipesVisitors can come to the pantry once a month.Information required to register: - Name - Last four digits of social security number- Zipcode- Monthly income- The number of people in the homeBring a pen to sign the intake form and something to hold items as you shop.If you are not a client of Bebashi you will need a referral letter from a social worker.",['English'],Free,Yes,https://www.facebook.com/bebashi,https://www.twitter.com/@bebashi,"This program covers residents of the following cities: Philadelphia, PA.",39.962199,-75.1586904,19108,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,11:00 AM - 4:00 PM  EDT,11:00 AM - 4:00 PM  EDT,11:00 AM - 4:00 PM  EDT,11:00 AM - 4:00 PM  EDT,11:00 AM - 4:00 PM  EDT,Closed,Closed
Addiction Medicine and Health Advocates Inc_Addiction Medicine And Health Advocates,https://www.auntbertha.com//addiction-medicine-and-health-advocates%252C-inc.-%2528amha%2529--philadelphia-pa--addiction-medicine-and-health-advocates/5185303560585216?postal=19102,"['addiction & recovery', 'detox', 'outpatient treatment', 'understand mental health', 'group therapy', 'substance abuse counseling', 'family counseling', 'mental health evaluation', 'drug testing', 'navigating the system', 'support network', 'one-on-one support']",None,"['adults', 'young adults', 'teens', 'seniors', 'substance dependency', 'families']",215-923-4202,https://amhainc.org/services,"928 Market St., Philadelphia, PA 19107","https://www.google.com/maps/?q=928+Market+St,+Philadelphia,+PA+19107/",[Follow the Next Steps to find out if this program has eligibility criteria.],available,"Addiction Medicine and Health Advocates, Inc. (AMHA) provides evidence-based substance abuse treatment, which is continuously responsive to the needs of the patients and their families. AMHA is an outpatient facility consisting of two levels of care: Outpatient and Intensive Outpatient. Methadone Maintenance is provided on both levels of care.Services provided include: Assessment and intake Medication-assisted treatment (methadone maintenance) Individual counseling & psychotherapy Group psychotherapy Psycho education Medical & psychiatric evaluations  Aftercare & follow up services  Referrals (educational, medical, vocational, psychiatric, higher levels of care) Couples & family therapy Drug screening To begin the admissions process, please contact us. You may also come in person between the hours of 9 am and 4 pm, Monday through Friday. You will be asked to complete a short screening interview and if initial eligibility criteria is met, you will be scheduled for an assessment.At the time of your assessment, you will need to bring: Current, state-issued photo ID Insurance cardAMHA is a private not-for-profit organization dependent upon patient fees for its continuance. Most of our patients have some form of insurance or medical assistance that pays for medication-assisted treatment services. Individuals who do not have insurance are responsible for payment or they may be eligible for county funding.",['English'],Reduced Cost,Yes,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9513162,-75.1561975,19107,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,6:00 AM - 2:00 PM  EDT,6:00 AM - 2:00 PM  EDT,6:00 AM - 2:00 PM  EDT,6:00 AM - 2:00 PM  EDT,6:00 AM - 2:00 PM  EDT,6:00 AM - 11:45 AM  EDT,6:00 AM - 11:45 AM  EDT
